ipa,talk
ʡ,
ɹ̠̊˔,
ɻ̊˔,
˷,
ʡ̮,
ʜ,
ʢ,
ꞎ,
𝼅,
𝼆,
𝼄,
ʟ̝,
ʟ̥,
ʟ,
ʟ̠,
𝼈̥,
𝼈,
ʎ̮,
ʟ̆,
ᶑ,
ᶑ̥,
𝼈̊,
ᶑ,
ᶑ̊,
