symbol,name,table,group,manner,place,voice,page,audio,chart
z,Voiced alveolar fricative,pulmonic,Coronal,Sibilant fricative,Alveolar,voiced,https://en.wikipedia.org/wiki/Voiced_alveolar_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c0/Voiced_alveolar_sibilant.ogg/Voiced_alveolar_sibilant.ogg.mp3,z
ʃ,Voiceless postalveolar fricative,pulmonic,Coronal,Sibilant fricative,Postalveolar,voiceless,https://en.wikipedia.org/wiki/Voiceless_postalveolar_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/cc/Voiceless_palato-alveolar_sibilant.ogg/Voiceless_palato-alveolar_sibilant.ogg.mp3,ʃ
ʒ,Voiced postalveolar fricative,pulmonic,Coronal,Sibilant fricative,Postalveolar,voiced,https://en.wikipedia.org/wiki/Voiced_postalveolar_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/30/Voiced_palato-alveolar_sibilant.ogg/Voiced_palato-alveolar_sibilant.ogg.mp3,ʒ
ʂ,Voiceless retroflex fricative,pulmonic,Coronal,Sibilant fricative,Retroflex,voiceless,https://en.wikipedia.org/wiki/Voiceless_retroflex_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/b/b1/Voiceless_retroflex_sibilant.ogg/Voiceless_retroflex_sibilant.ogg.mp3,ʂ
ʐ,Voiced retroflex fricative,pulmonic,Coronal,Sibilant fricative,Retroflex,voiced,https://en.wikipedia.org/wiki/Voiced_retroflex_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/7/7f/Voiced_retroflex_sibilant.ogg/Voiced_retroflex_sibilant.ogg.mp3,ʐ
ɕ,Voiceless alveolo-palatal fricative,pulmonic,Dorsal,Sibilant fricative,(Alveolo-)palatal,voiceless,https://en.wikipedia.org/wiki/Voiceless_alveolo-palatal_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/0b/Voiceless_alveolo-palatal_sibilant.ogg/Voiceless_alveolo-palatal_sibilant.ogg.mp3,ɕ
ʑ,Voiced alveolo-palatal fricative,pulmonic,Dorsal,Sibilant fricative,(Alveolo-)palatal,voiced,https://en.wikipedia.org/wiki/Voiced_alveolo-palatal_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/1/15/Voiced_alveolo-palatal_sibilant.ogg/Voiced_alveolo-palatal_sibilant.ogg.mp3,ʑ
ɸ,Voiceless bilabial fricative,pulmonic,Labial,Non-sibilant fricative,Bilabial,voiceless,https://en.wikipedia.org/wiki/Voiceless_bilabial_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/41/Voiceless_bilabial_fricative.ogg/Voiceless_bilabial_fricative.ogg.mp3,ɸ
β,Voiced bilabial fricative,pulmonic,Labial,Non-sibilant fricative,Bilabial,voiced,https://en.wikipedia.org/wiki/Voiced_bilabial_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/37/Voiced_bilabial_fricative.ogg/Voiced_bilabial_fricative.ogg.mp3,β
f,Voiceless labiodental fricative,pulmonic,Labial,Non-sibilant fricative,Labiodental,voiceless,https://en.wikipedia.org/wiki/Voiceless_labiodental_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c7/Voiceless_labio-dental_fricative.ogg/Voiceless_labio-dental_fricative.ogg.mp3,f
v,Voiced labiodental fricative,pulmonic,Labial,Non-sibilant fricative,Labiodental,voiced,https://en.wikipedia.org/wiki/Voiced_labiodental_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/42/Voiced_labio-dental_fricative.ogg/Voiced_labio-dental_fricative.ogg.mp3,v
θ,Voiceless dental fricative,pulmonic,Coronal,Non-sibilant fricative,Dental,voiceless,https://en.wikipedia.org/wiki/Voiceless_dental_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/8/80/Voiceless_dental_fricative.ogg/Voiceless_dental_fricative.ogg.mp3,θ
ð,Voiced dental fricative,pulmonic,Coronal,Non-sibilant fricative,Dental,voiced,https://en.wikipedia.org/wiki/Voiced_dental_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/6/6a/Voiced_dental_fricative.ogg/Voiced_dental_fricative.ogg.mp3,ð
ʝ,Voiced palatal fricative,pulmonic,Dorsal,Non-sibilant fricative,(Alveolo-)palatal,voiced,https://en.wikipedia.org/wiki/Voiced_palatal_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/a/ac/Voiced_palatal_fricative.ogg/Voiced_palatal_fricative.ogg.mp3,ʝ
x,Voiceless velar fricative,pulmonic,Dorsal,Non-sibilant fricative,Velar,voiceless,https://en.wikipedia.org/wiki/Voiceless_velar_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/0/0f/Voiceless_velar_fricative.ogg/Voiceless_velar_fricative.ogg.mp3,x
ɣ,Voiced velar fricative,pulmonic,Dorsal,Non-sibilant fricative,Velar,voiced,https://en.wikipedia.org/wiki/Voiced_velar_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/4/47/Voiced_velar_fricative.ogg/Voiced_velar_fricative.ogg.mp3,ɣ
χ,Voiceless uvular fricative,pulmonic,Dorsal,Non-sibilant fricative,Uvular,voiceless,https://en.wikipedia.org/wiki/Voiceless_uvular_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c8/Voiceless_uvular_fricative.ogg/Voiceless_uvular_fricative.ogg.mp3,χ
ʁ,Voiced uvular fricative,pulmonic,Dorsal,Non-sibilant fricative,Uvular,voiced,https://en.wikipedia.org/wiki/Voiced_uvular_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/a/af/Voiced_uvular_fricative.ogg/Voiced_uvular_fricative.ogg.mp3,ʁ
ħ,Voiceless pharyngeal fricative,pulmonic,Laryngeal,Non-sibilant fricative,Pharyngeal/epiglottal,voiceless,https://en.wikipedia.org/wiki/Voiceless_pharyngeal_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/b/b2/Voiceless_pharyngeal_fricative.ogg/Voiceless_pharyngeal_fricative.ogg.mp3,ħ
ʕ,Voiced pharyngeal fricative,pulmonic,Laryngeal,Non-sibilant fricative,Pharyngeal/epiglottal,voiced,https://en.wikipedia.org/wiki/Voiced_pharyngeal_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/cd/Voiced_pharyngeal_fricative.ogg/Voiced_pharyngeal_fricative.ogg.mp3,ʕ
h,Voiceless glottal fricative,pulmonic,Laryngeal,Non-sibilant fricative,Glottal,voiceless,https://en.wikipedia.org/wiki/Voiceless_glottal_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/da/Voiceless_glottal_fricative.ogg/Voiceless_glottal_fricative.ogg.mp3,h
ɦ,Voiced glottal fricative,pulmonic,Laryngeal,Non-sibilant fricative,Glottal,voiced,https://en.wikipedia.org/wiki/Voiced_glottal_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/e/e2/Voiced_glottal_fricative.ogg/Voiced_glottal_fricative.ogg.mp3,ɦ
ʋ,Voiced labiodental approximant,pulmonic,Labial,Approximant,Labiodental,voiced,https://en.wikipedia.org/wiki/Voiced_labiodental_approximant,https://upload.wikimedia.org/wikipedia/commons/transcoded/e/ee/Labiodental_approximant.ogg/Labiodental_approximant.ogg.mp3,ʋ
ɹ,Voiced alveolar approximant,pulmonic,Coronal,Approximant,Alveolar,voiced,https://en.wikipedia.org/wiki/Voiced_alveolar_approximant,https://upload.wikimedia.org/wikipedia/commons/transcoded/1/1f/Alveolar_approximant.ogg/Alveolar_approximant.ogg.mp3,ɹ
ɻ,Voiced retroflex approximant,pulmonic,Coronal,Approximant,Retroflex,voiced,https://en.wikipedia.org/wiki/Voiced_retroflex_approximant,https://upload.wikimedia.org/wikipedia/commons/transcoded/b/bf/Retroflex_Approximant2.oga/Retroflex_Approximant2.oga.mp3,ɻ
j,Voiced palatal approximant,pulmonic,Dorsal,Approximant,(Alveolo-)palatal,voiced,https://en.wikipedia.org/wiki/Voiced_palatal_approximant,https://upload.wikimedia.org/wikipedia/commons/transcoded/e/e8/Palatal_approximant.ogg/Palatal_approximant.ogg.mp3,j
ɰ,Voiced velar approximant,pulmonic,Dorsal,Approximant,Velar,voiced,https://en.wikipedia.org/wiki/Voiced_velar_approximant,https://upload.wikimedia.org/wikipedia/commons/transcoded/5/5c/Voiced_velar_approximant.ogg/Voiced_velar_approximant.ogg.mp3,ɰ
ⱱ,Voiced labiodental flap,pulmonic,Labial,Tap/flap,Labiodental,voiced,https://en.wikipedia.org/wiki/Voiced_labiodental_flap,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/2c/Labiodental_flap.ogg/Labiodental_flap.ogg.mp3,ⱱ
ɾ,Voiced alveolar tap or flap,pulmonic,Coronal,Tap/flap,Alveolar,voiced,https://en.wikipedia.org/wiki/Voiced_alveolar_tap_or_flap,https://upload.wikimedia.org/wikipedia/commons/transcoded/a/a0/Alveolar_tap.ogg/Alveolar_tap.ogg.mp3,ɾ
ɽ,Voiced retroflex flap,pulmonic,Coronal,Tap/flap,Retroflex,voiced,https://en.wikipedia.org/wiki/Voiced_retroflex_flap,https://upload.wikimedia.org/wikipedia/commons/transcoded/8/87/Retroflex_flap.ogg/Retroflex_flap.ogg.mp3,ɽ
ʙ,Voiced bilabial trill,pulmonic,Labial,Trill,Bilabial,voiced,https://en.wikipedia.org/wiki/Voiced_bilabial_trill,https://upload.wikimedia.org/wikipedia/commons/transcoded/e/e7/Bilabial_trill.ogg/Bilabial_trill.ogg.mp3,ʙ
r,Voiced alveolar trill,pulmonic,Coronal,Trill,Alveolar,voiced,https://en.wikipedia.org/wiki/Voiced_alveolar_trill,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/ce/Alveolar_trill.ogg/Alveolar_trill.ogg.mp3,r
ʀ,Voiced uvular trill,pulmonic,Dorsal,Trill,Uvular,voiced,https://en.wikipedia.org/wiki/Voiced_uvular_trill,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/cb/Uvular_trill.ogg/Uvular_trill.ogg.mp3,ʀ
ʜ,Voiceless epiglottal trill,pulmonic,Laryngeal,Trill,Pharyngeal/epiglottal,voiceless,https://en.wikipedia.org/wiki/Voiceless_epiglottal_trill,https://upload.wikimedia.org/wikipedia/commons/transcoded/7/7b/Voiceless_epiglottal_trill.ogg/Voiceless_epiglottal_trill.ogg.mp3,ʜ
ʢ,Voiced epiglottal trill,pulmonic,Laryngeal,Trill,Pharyngeal/epiglottal,voiced,https://en.wikipedia.org/wiki/Voiced_epiglottal_trill,https://upload.wikimedia.org/wikipedia/commons/transcoded/1/18/Voiced_epiglottal_trill_2.ogg/Voiced_epiglottal_trill_2.ogg.mp3,ʢ
ɬ,Voiceless alveolar lateral fricative,pulmonic,Coronal,Lateral fricative,Alveolar,voiceless,https://en.wikipedia.org/wiki/Voiceless_alveolar_lateral_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/e/ea/Voiceless_alveolar_lateral_fricative.ogg/Voiceless_alveolar_lateral_fricative.ogg.mp3,ɬ
ɮ,Voiced alveolar lateral fricative,pulmonic,Coronal,Lateral fricative,Alveolar,voiced,https://en.wikipedia.org/wiki/Voiced_alveolar_lateral_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/6/6f/Voiced_alveolar_lateral_fricative.ogg/Voiced_alveolar_lateral_fricative.ogg.mp3,ɮ
ꞎ,Voiceless retroflex lateral fricative,pulmonic,Coronal,Lateral fricative,Retroflex,voiceless,https://en.wikipedia.org/wiki/Voiceless_retroflex_lateral_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/5/54/Voiceless_retroflex_lateral_fricative.ogg/Voiceless_retroflex_lateral_fricative.ogg.mp3,ꞎ
𝼅,Voiced retroflex lateral fricative,pulmonic,Coronal,Lateral fricative,Retroflex,voiced,https://en.wikipedia.org/wiki/Voiced_retroflex_lateral_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/ce/Voiced_retroflex_lateral_fricative.wav/Voiced_retroflex_lateral_fricative.wav.mp3,𝼅
𝼆,Voiceless palatal lateral fricative,pulmonic,Dorsal,Lateral fricative,(Alveolo-)palatal,voiceless,https://en.wikipedia.org/wiki/Voiceless_palatal_lateral_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/f/fe/Voiceless_palatal_lateral_fricative.ogg/Voiceless_palatal_lateral_fricative.ogg.mp3,𝼆
𝼄,Voiceless velar lateral fricative,pulmonic,Dorsal,Lateral fricative,Velar,voiceless,https://en.wikipedia.org/wiki/Voiceless_velar_lateral_fricative,https://upload.wikimedia.org/wikipedia/commons/transcoded/9/99/Voiceless_velar_lateral_fricative.ogg/Voiceless_velar_lateral_fricative.ogg.mp3,𝼄
l,Voiced alveolar lateral approximant,pulmonic,Coronal,Lateral approximant,Alveolar,voiced,https://en.wikipedia.org/wiki/Voiced_alveolar_lateral_approximant,https://upload.wikimedia.org/wikipedia/commons/transcoded/b/bc/Alveolar_lateral_approximant.ogg/Alveolar_lateral_approximant.ogg.mp3,l
ɭ,Voiced retroflex lateral approximant,pulmonic,Coronal,Lateral approximant,Retroflex,voiced,https://en.wikipedia.org/wiki/Voiced_retroflex_lateral_approximant,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/d1/Retroflex_lateral_approximant.ogg/Retroflex_lateral_approximant.ogg.mp3,ɭ
ʎ,Voiced palatal lateral approximant,pulmonic,Dorsal,Lateral approximant,(Alveolo-)palatal,voiced,https://en.wikipedia.org/wiki/Voiced_palatal_lateral_approximant,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/d9/Palatal_lateral_approximant.ogg/Palatal_lateral_approximant.ogg.mp3,ʎ
ʟ,Voiced velar lateral approximant,pulmonic,Dorsal,Lateral approximant,Velar,voiced,https://en.wikipedia.org/wiki/Voiced_velar_lateral_approximant,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/d3/Velar_lateral_approximant.ogg/Velar_lateral_approximant.ogg.mp3,ʟ
ɺ,Voiced alveolar lateral flap,pulmonic,Coronal,Lateral tap/flap,Alveolar,voiced,https://en.wikipedia.org/wiki/Voiced_alveolar_lateral_flap,https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c9/Voiced_alveolar_lateral_flap.wav/Voiced_alveolar_lateral_flap.wav.mp3,ɺ
